Season,Winner,Winner's Points,Runner-up,Runner-up's Points,Third Place,Third Place's Points,Top Scorer,Top scorer's club(s),Goals
1929,Barcelona ,25,Real Madrid ,23,Athletic Bilbao ,20,Paco Bienzobas,Real Sociedad,14
1929–30,Athletic Bilbao  ,30,Barcelona ,23,Arenas ,20,Guillermo Gorostiza,Athletic Bilbao,19
1930–31,Athletic Bilbao  ,22,Racing Santander ,22,Real Sociedad ,22,Bata,Athletic Bilbao,27
1931–32,Madrid FC[a] ,28,Athletic Bilbao ,25,Barcelona ,24,Guillermo Gorostiza,Athletic Bilbao,12
1932–33,Madrid FC[a] ,28,Athletic Bilbao ,26,Espanyol ,22,Manuel Olivares,Madrid FC,16
1933–34,Athletic Bilbao ,24,Madrid FC ,22,Racing Santander ,19,Isidro Lángara,Oviedo,27
1934–35,Real Betis ,34,Madrid FC ,33,Oviedo ,26,Isidro Lángara,Oviedo,26
1935–36,Athletic Bilbao ,31,Madrid FC ,29,Oviedo ,28,Isidro Lángara,Oviedo,27
1936–37,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War
1937–38,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War
1938–39,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War,League suspended due to Spanish Civil War
1939–40,Atlético Aviación[b] ,29,Sevilla ,28,Athletic Bilbao ,26,Víctor Unamuno,Athletic Bilbao,22
1940–41,Atlético Aviación[b] ,33,Athletic Bilbao ,31,Valencia ,27,Pruden,Atlético Aviación,30
1941–42,Valencia ,40,Real Madrid ,33,Atlético Aviación ,33,Edmundo Suárez,Valencia,27
